Название Вакансии,URL,Название компании,Описание
Data Engineering Team Lead (Python / C++),https://vidnoe.hh.ru/vacancy/34106577?query=python, DataFork,"Автоматизация процессов сбора, хранения и анализа данных из открытых и закрытых источников (ETL / CMC). Автоматизация процессов обработки, «обогащения» и нормализации... Умение читать / писать код на python и С++. Опыт разработки в среде linux. Опыт руководства командой 3-5 человек. "
Machine learning engineer,https://vidnoe.hh.ru/vacancy/33947694?query=python, Tech5," Хорошее знание аналитической геометрии, линейной алгебры, математической статистики и численных методов. Знание С++/Python, достаточное для решения собственных research-задач. "
Python developer,https://vidnoe.hh.ru/vacancy/34005432?query=python, IVIDEON,Проектировать архитектуру новых сервисов. Автотестить написанное - сейчас код покрыт 800 функциональными тестами. Разрабатывать API приложений и интеграции. Опыт разработки микросервисов.
Python Web Developer,https://vidnoe.hh.ru/vacancy/33895741?query=python, Soshace,"If you answer “yes” to all questions, send us your CV and be ready to provide a portfolio of projects... Do you have more than 3-year commercial experience in web development on projects with Python? Do you have 1..."
Программист Python,https://vidnoe.hh.ru/vacancy/33833014?query=python," Смарт Текнолоджис,ООО","Разработка и поддержка приложений в сфере ИИ. Разработка диалоговых систем. Реализация бизнес-логики. Рефакторинг старого кода и проектирование нового.  ...работы python программистом более 3х лет. Отличное знание Python(>3.6), ООП, паттернов проектирования. Наличие реализованных проектов на Python. "
Python developer,https://vidnoe.hh.ru/vacancy/33811537?query=python, B2Broker Москва," Имеет опыт коммерческой разработки на Python 3 от 6 лет. Знает и умеет использовать: итераторы, генераторы, потоки. Отлично владеет знаниями..."
Python Data Scientist,https://vidnoe.hh.ru/vacancy/33840192?query=python, Web Interactive World,"Работа с большими объемами структурированных и неструктурированных данных. Подготовка данных, выявление закономерностей на признаках, feature engineering. Построение, оценка и внедрение... Хорошая математическая подготовка, владение основами статистики, умение объяснить и доказать полученный результат. Отличное владение Python и ML-стеком (statsmodels, sklearn..."
Разработчик Python,https://vidnoe.hh.ru/vacancy/34004511?query=python, Ingate,"Проектирование и реализация программных систем. Доработка, отладка и оптимизация существующих программ. Анализ и решение сложных технических проблем. Знание Python и опыт разработки на нем от 2 лет. Желательно знание базовых структур данных и операций над ними. "
Python разработчик,https://vidnoe.hh.ru/vacancy/34096488?query=python,ООО Диджитал медикэл оперейшнс,"Реализация сервисов на языке Python. Разработка бэкэнда для сервисов машинного обучения и интеллектуальных систем. Реализация алгоритмов для графов, онтологий, байесовских... Опыт работы в области создания программного обеспечения в качестве разработчика 1-3 года и выше. Понимание принципов ООП и шаблонов..."
Data analyst,https://vidnoe.hh.ru/vacancy/33659539?query=python,ООО РАБЛЗ,"Выделение сегментов пользователей по данным о них с использованием Python (pandas и др.), SQL и Pyspark. Разработка на Python универсальных... Опыт работы с инструментами распределенной обработки данных (Hadoop, Spark и др.). Опыт работы с машинным обучением на Python. "
Python Developer,https://vidnoe.hh.ru/vacancy/33599310?query=python, LLC ICONIC,"Разработка web сервисов на протоколе GraphQL. Разработка, проектирование и поддержка микросервисов. Интеграция с внешними и внутренними системами. Опыт разработки на Python не менее 2-х лет, разработки на >=Python 3.6.. Навык работы с SQLAlchemy. "
Junior Data scientist,https://vidnoe.hh.ru/vacancy/33860264?query=python, Платформа ОФД,"Решение исследовательских и прикладных задач в рамках создания и развития продуктов компании с применением современных методов статистического анализа и машинного... Опыт решения реальных бизнес-задач, используя методы машинного обучения и статистического анализа. Опыт применения Python для обработки и анализа данных..."
Методист-эксперт Python,https://vidnoe.hh.ru/vacancy/33842117?query=python, Алгоритмика,...оценки результатов учебной деятельности обучающихся отделения. Внесение предложений по совершенствованию образовательного процесса. Требования: Экспертиза в Python (преподавание + обучение преподавателей). 
Аналитик python,https://vidnoe.hh.ru/vacancy/33995292?query=python,Нек. орг. Государственное бюджетное учреждение города Москвы Центр налоговых доходов,"Повышение качества данных. Повышение эффективности существующих алгоритмов. Парсинг данных с открытых источников. Решение аналитических задачи по обработке большого массива данных. Знание SQL, PL/SQL (Oracle). Shapely, bs4, Dash, cx_Oracle. Основ машинного обучения. Linux (CLI). Python 3.x(pandas, numpy..."
Python разработчик,https://vidnoe.hh.ru/vacancy/33655550?query=python, Coin Liquidity Solutions,Разрабатывать и поддерживать торговых роботов. Создавать продукты для автоматизации процессов отдела продаж. Улучшать торговые стратегии путем сбора и анализа рыночных... Уверенное знание Python и любовь к чистому коду. Интерес к сфере криптовалют и трейдингу. Мотивацию к обучению и росту профессионального...
Разработчик Python / Django,https://vidnoe.hh.ru/vacancy/33917948?query=python, IT Gene,Поддержка и разработка порталов‚ обеспечивающих взаимодействие заказчика с распределенной сетью контрагентов (написаны на Django). Поддержка механизмов обмена данных между порталами... Опыт работы в аналогичной должности от двух лет. Опыт разработки на Python 2.7 и 3.5‚ Django 1.8...
Python разработчик (ЦКМ),https://vidnoe.hh.ru/vacancy/34069063?query=python, Сбербанк для экспертов,"В команду новостного мониторинга требуется опытный Python-разработчик для разработки архитектуры решения, построения процессов разработки, повышения стабильности сервиса.  опыт разработки на Python не менее 3-х лет. - опыт работы с PostgreSQL и ORM-библиотеками. - знакомство с Docker, Linux..."
Разработчик Python,https://vidnoe.hh.ru/vacancy/33974003?query=python, Йенго РУ,"Разработка Backend на Python. Профилирование кода, оптимизация производительности. Участие в проектировании архитектуры. Опыт работы веб-разработчиком в команде от 3-х лет. Уверенное владение Python 3, знание слабых и сильных сторон. "
Python разработчик (Senior),https://vidnoe.hh.ru/vacancy/33906030?query=python,ООО B2Basket.ru,"Доработка текущих проектов. Участие в разработке новых проектов. Python/ Django (опыт коммерческой разработки от 2 лет!). Git. MySQL, MongoDB. Понимае принципов работы RestAPI. Покрытие кода тестами. "
"Разработчик ПО (QT C++, Python)",https://vidnoe.hh.ru/vacancy/34114105?query=python,ООО ИТБ,"Сопровождение сервера (Python Twisted, SQL, Сопровождение клиента (QT4, C++) Написание новых функций, взаимодействие с другими клиентами. Опыт работы."
